HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV230,HV231,HV232,HV233,HV234,SHCOMMU,SHINTER,SHLANG,SHSECTE,SHTIME,V73
1 55,RW4,1,55,2,1,323088,7,2000,1207,9,2,0,9,9,1,1,12,1,59,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,1, ,2, , , ,13,30,21,0,1,0,0,0,0,0,11, , ,4,1,1,44,0,0,7,0,3,2, , , ,15,1,0,1,1,6,.323088
1 60,RW4,1,60,2,1,323088,7,2000,1207,2,1,1,2,2,0,1,13,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,0, ,1, , , ,33,180,22,0,0,0,0,0,0,0,34, , ,2,1,1,41,0,1,7,0, ,2, , , ,30,1,0,1,1,0,.323088
1 65,RW4,1,65,1,1,323088,7,2000,1207,15,3,0,14,15,2,1,12,1,19,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,2, ,3, , , ,41,60,21,0,1,0,0,0,0,0,34, , ,5,1,1,58,0,0,7,1,0,2, , , ,15,1,0,1,1,0,.323088
1 70,RW4,1,70,1,1,323088,7,2000,1207,14,5,0,9,14,0,1,12,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,5, , , ,13,60,21,0,1,0,0,0,0,0,34, , ,4,1,2,52,0,0,7,1, ,2, , , ,7,1,0,1,1,0,.323088
1 75,RW4,1,75,2,1,323088,7,2000,1207,4,1,1,4,4,0,1,13,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,0, ,1, , , ,33,120,21,0,1,0,0,0,0,0,34, , ,2,1,1,38,0,0,6,0, ,2, , , ,15,1,0,1,1,0,.323088
1 80,RW4,1,80,1,1,323088,7,2000,1207,5,2,0,5,4,0,1,14,1,59,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,2, , , ,41,90,21,0,1,0,0,1,0,0,11, , ,5,1,1,40,0,0,6,0, ,2, , , ,7,1,0,1,1,0,.323088
1 85,RW4,1,85,2,1,323088,7,2000,1207,2,1,0,2,2,0,1,13,1,19,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,1, , , ,41,40,21,0,0,0,0,0,0,0,11, , ,2,1,1,38,0,1,7,0, ,2, , , ,30,1,0,1,1,2,.323088
1 90,RW4,1,90,2,1,323088,7,2000,1207,2,0,2,2,2,0,1,13,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,0, ,0, , , ,33,120,31,0,1,1,0,0,0,1,34, , ,5,1,1,24,1, ,6,0, ,2, , , ,15,1,1,1,1,2,.323088
1 95,RW4,1,95,2,1,323088,7,2000,1207,7,1,0,6,7,3,1,12,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,3, ,1, , , ,13,60,21,0,1,0,0,0,0,0,34, , ,2,1,1,30,0,1,6,1,1,2, , , ,15,1,0,1,1,0,.323088
1100,RW4,1,100,2,1,323088,7,2000,1207,7,2,0,6,7,2,1,14,1,59,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,2, ,2, , , ,41,35,22,0,1,0,0,0,0,0,34, , ,5,1,1,30,0,0,7,1,1,2, , , ,30,1,0,1,1,0,.323088
1105,RW4,1,105,1,1,323088,7,2000,1207,6,1,1,6,5,1,1,14,1,41,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,1, ,1, , , ,33,60,21,0,1,0,0,0,0,0,12, , ,4,1,1,46,0,0,7,0,3,2, , , ,30,1,0,1,1,0,.323088
1110,RW4,1,110,1,1,323088,7,2000,1207,1,0,0,1,1,0,1,13,1,19,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,0, ,0, , , ,41,30,21,0,1,0,0,0,0,0,11, , ,1,1,1,42,0,1,7,0, ,2, , , ,15,1,0,1,1,2,.323088
1115,RW4,1,115,2,1,323088,7,2000,1207,8,2,0,8,7,2,1,13,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,2, ,2, , , ,13,60,21,0,1,0,0,0,0,0,11, , ,4,1,1,52,0,0,7,0,3,2, , , ,7,1,0,1,1,0,.323088
1120,RW4,1,120,1,1,323088,7,2000,1207,4,1,0,4,4,0,1,24,2,59,85,0,1,1,9,9,1,0,1,323970,38,8,71,21244,0, ,1, , , ,43,30,21,0,0,0,0,0,0,0,11, , ,1,1,2,35,0,0,7,0, ,2, , , ,15,1,0,1,1,0,.323088
1125,RW4,1,125,2,1,323088,7,2000,1207,8,3,0,8,8,1,1,14,1,43,85,0,1,1,9,9,1,0,0,0,38,8,71,21244,1, ,3, , , ,13,30,21,1,1,1,0,1,0,0,33, , ,4,1,1,47,0,0,7,1,0,2, , , ,15,1,0,1,1,6,.323088
