HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HV270,HV271,HML1,HML1A,HML2,SH108AA,SH108BA,SH108BB,SH108BC,SH108BD,SH108BX,SH108C1,SH108C2,SH108E,SHREGION,SHDISTRICT,V126
40 1,RW5,40,1,1,40,2190178,12,2007,1296,1,0,1,1,1,0,1,27,1,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,30,22,0,0,0,0,0,0,0,11, , , ,1,1,1,70,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,1,1,0,1,0,1,0,0,0, , , ,2,7,2.190178
40 2,RW5,40,2,0,40,0,12,2007,1296,0,0,0,0,0,0,2,29,3,902,3,0,40,3,2,4,2,3,1,0,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,0,0,0,0,0,0,11, , , ,3,1,2,27,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,0,0,0, , , , , , , , , ,2,7,0
40 3,RW5,40,3,2,40,2190178,12,2007,1296,5,3,1,5,5,0,1,28,2,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,0,0,0,0,0,0,11, , , ,2,1,1,49,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,1,1,1,1,0,1,0,0,0, , , ,2,7,2.190178
40 4,RW5,40,4,1,40,2190178,12,2007,1296,3,1,0,3,3,0,1,27,1,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,1,0,0,0,0,0,11, , , ,4,1,2,50,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,0,0,0,0,3,0, ,2,7,2.190178
40 5,RW5,40,5,1,40,2190178,12,2007,1296,5,3,1,4,5,0,1,27,1,902,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,6,22,0,1,0,0,0,0,0,11, , , ,4,1,1,49,0,0,7,1,2, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,4,4,2,1,1,0,0,0,0,4,99, ,2,7,2.190178
40 6,RW5,40,6,1,40,2190178,12,2007,1296,5,1,1,5,5,3,1,27,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,4,22,0,1,0,0,0,0,0,11, , , ,4,1,2,74,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,0, , , , , , , , ,2,7,2.190178
40 7,RW5,40,7,2,40,2190178,12,2007,1296,7,1,1,7,7,2,1,27,1,902,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,1,0,0,0,1,0,11, , , ,4,1,1,67,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,2678,1,1,1,1,1,0,0,0,0,7,2, ,2,7,2.190178
40 8,RW5,40,8,2,40,2190178,12,2007,1296,8,3,3,8,8,0,1,27,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,1,0,0,1,0,0,34, , , ,5,1,1,33,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,38426,2,2,0,1,1,0,0,0,0,8,0, ,2,7,2.190178
40 9,RW5,40,9,1,40,2190178,12,2007,1296,1,0,1,1,1,0,1,28,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,30,22,0,1,0,0,0,0,0,11, , , ,1,1,1,18,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,0,0,0,0,1,0, ,2,7,2.190178
4010,RW5,40,10,2,40,2190178,12,2007,1296,7,1,2,7,7,3,1,28,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,30,22,0,1,0,0,0,0,0,11, , , ,2,1,1,25,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,0,0,0,0,6,3, ,2,7,2.190178
4011,RW5,40,11,2,40,2190178,12,2007,1296,6,3,1,5,6,1,1,28,1,902,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,5,22,0,1,0,0,1,0,0,12, , , ,2,1,1,47,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,2628,0,0,0,1,1,1,0,0,0,3,1, ,2,7,2.190178
4012,RW5,40,12,2,40,2190178,12,2007,1296,5,1,1,5,5,1,1,28,1,902,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,20,22,0,1,0,0,0,0,0,11, , , ,2,1,1,28,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,1,1,1,1,1,0,0,0,0,5,1, ,2,7,2.190178
4013,RW5,40,13,1,40,2190178,12,2007,1296,5,2,1,5,5,0,1,28,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,5,22,0,0,0,0,0,0,0,12, , , ,4,1,1,79,0,0,7,1,0, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-23620,1,1,0,1,1,0,0,0,0,5,0, ,2,7,2.190178
4014,RW5,40,14,1,40,2190178,12,2007,1296,6,1,1,6,6,1,1,28,2,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,15,21,0,0,0,0,0,0,0,11, , , ,4,1,1,37,0,0,7,1,2, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-43380,2,2,1,1,1,0,0,0,0,6,1, ,2,7,2.190178
4015,RW5,40,15,0,40,0,12,2007,1296,0,0,0,0,0,0,3,29,3,111,3,0,40,3,2,4,2,3,1,0,906,904,1, , ,1852, ,1, , ,41, ,15,21,0,1,0,0,0,0,0,34, , , ,2,1,1,30,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,42181,1,1,0, , , , , , , , , ,2,7,0
4016,RW5,40,16,2,40,2190178,12,2007,1296,7,1,1,7,7,2,1,27,1,111,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,15,21,0,1,0,0,0,0,0,11, , , ,2,1,1,30,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32002,1,1,2,1,1,0,0,0,0,7,2, ,2,7,2.190178
4017,RW5,40,17,1,40,2190178,12,2007,1296,5,1,1,5,5,0,1,28,2,113,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,30,22,0,1,0,0,1,0,0,11, , , ,2,1,1,37,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-48740,3,3,2,1,1,0,0,0,0,5,0, ,2,7,2.190178
4018,RW5,40,18,1,40,2190178,12,2007,1296,6,1,3,6,5,0,1,27,1,112,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,23, ,5,21,0,1,0,0,0,0,0,11, , , ,4,1,1,50,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-28830,1,1,0,1,1,1,0,0,0,5,0, ,2,7,2.190178
4019,RW5,40,19,1,40,2190178,12,2007,1296,4,1,1,4,4,2,1,27,1,112,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,5,21,0,1,0,0,0,0,0,11, , , ,2,1,1,39,0,0,7,1,2, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-19018,2,2,1,1,1,0,0,0,0,4,2, ,2,7,2.190178
4020,RW5,40,20,2,40,2190178,12,2007,1296,7,2,2,6,7,0,1,27,1,112,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,15,21,0,0,0,0,0,0,0,11, , , ,4,1,2,70,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-30397,0,0,0,1,1,0,0,0,0,4,0, ,2,7,2.190178
4021,RW5,40,21,4,40,2190178,12,2007,1296,5,2,2,5,4,0,1,28,1,111,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,5,22,0,0,0,0,0,0,0,11, , , ,4,1,1,50,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,0,0,0,1,1,0,0,0,0,5,0, ,2,7,2.190178
4022,RW5,40,22,1,40,2190178,12,2007,1296,5,1,2,5,5,0,1,28,2,111,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,10,22,0,0,0,0,0,0,0,11, , , ,4,1,1,64,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,0,0,0,1,1,0,0,0,0,0,0, ,2,7,2.190178
4023,RW5,40,23,3,40,2190178,12,2007,1296,12,5,6,10,12,0,1,27,1,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,13, ,5,22,0,1,0,0,0,0,0,11, , , ,4,1,2,49,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,1,0,0,0,4,0, ,2,7,2.190178
4024,RW5,40,24,1,40,2190178,12,2007,1296,1,0,1,1,1,0,1,28,1,902,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,60,22,0,1,0,0,0,0,0,11, , , ,2,1,1,26,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,1,1,2,1,1,0,0,0,0,1,0, ,2,7,2.190178
4025,RW5,40,25,1,40,2190178,12,2007,1296,2,1,0,1,2,0,1,27,1,901,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,33, ,60,22,0,1,0,0,0,0,0,11, , , ,2,1,1,40,0,1,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32472,0,0,0,1,1,0,0,0,0,2,0, ,2,7,2.190178
4026,RW5,40,26,1,40,2190178,12,2007,1296,5,1,1,5,5,1,1,28,1,113,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,33, ,60,22,0,0,0,0,0,0,0,11, , , ,1,1,2,56,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,1,-57536,0,0,0,1,1,0,0,0,0,5,1, ,2,7,2.190178
4027,RW5,40,27,1,40,2190178,12,2007,1296,1,0,1,1,1,0,1,28,1,112,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,30,22,0,0,0,0,0,0,0,11, , , ,2,1,1,37,0,0,7,1,2, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,1,-62005,1,1,1,0, , , , , , , , ,2,7,2.190178
4028,RW5,40,28,1,40,2190178,12,2007,1296,4,1,1,4,4,1,1,28,1,112,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,60,22,0,0,0,0,0,0,0,11, , , ,4,1,1,56,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,1,-62005,0,0,0,1,1,0,0,0,0,4,1, ,2,7,2.190178
4029,RW5,40,29,1,40,2190178,12,2007,1296,1,0,1,1,1,0,1,28,1,111,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,41, ,15,22,0,1,0,0,0,0,0,11, , , ,2,1,1,24,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,0,0,0,1,1,0,0,0,0,1,0, ,2,7,2.190178
4030,RW5,40,30,2,40,2190178,12,2007,1296,6,1,1,6,5,2,1,27,1,903,3,0,40,3,2,4,2,3,1,2190178,906,904,1, , ,1852, ,1, , ,33, ,60,22,0,1,0,0,0,0,0,11, , , ,2,1,1,26,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-46158,1,1,2,1,1,0,0,0,0,6,2, ,2,7,2.190178
41 1,RW5,41,1,1,41,954824,12,2007,1296,8,3,2,4,8,0,1,27,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,21,0,1,0,0,0,0,0,11, , , ,4,1,2,57,0,0,7,1,0, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32002,1,1,0,1,1,0,0,0,0,95,0, ,2,8,.954824
41 2,RW5,41,2,4,41,954824,12,2007,1296,4,2,1,2,4,0,1,28,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,22,0,1,0,0,0,0,0,11, , , ,2,1,1,75,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,0,0,0,1,1,0,0,0,0,95,0, ,2,8,.954824
41 3,RW5,41,3,1,41,954824,12,2007,1296,5,1,1,5,5,2,1,28,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,30,21,0,1,0,0,0,0,0,11, , , ,5,1,1,56,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32002,0,0,0,1,1,0,0,0,0,95,2, ,2,8,.954824
41 4,RW5,41,4,2,41,954824,12,2007,1296,7,2,1,6,5,0,1,28,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,30,21,0,0,0,0,0,0,0,11, , , ,1,1,1,26,0,1,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-13148,0,0,0,1,1,0,0,0,0,4,0, ,2,8,.954824
41 5,RW5,41,5,1,41,954824,12,2007,1296,5,0,2,5,5,0,1,28,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,5,21,0,0,0,0,0,0,0,11, , , ,4,1,1,55,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-30397,0,0,0,1,1,0,0,0,0,5,0, ,2,8,.954824
41 6,RW5,41,6,1,41,954824,12,2007,1296,6,1,2,6,6,2,1,28,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,20,21,0,1,0,0,0,0,0,11, , , ,4,1,1,54,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32002,0,0,0,1,1,0,0,0,0,5,1, ,2,8,.954824
41 7,RW5,41,7,1,41,954824,12,2007,1296,5,2,1,5,5,0,1,28,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,20,22,0,1,0,0,0,0,0,11, , , ,4,1,1,43,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,2,2,1,1,1,0,0,0,0,5,0, ,2,8,.954824
41 8,RW5,41,8,1,41,954824,12,2007,1296,1,0,0,1,1,0,1,28,1,121,4,0,41,3,2,4,2,3,1,954824,122,602,2, , ,1640, ,1, , ,41, ,30,22,0,1,0,0,0,0,0,11, , , ,2,1,1,43,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,2,2,2,1,1,0,0,0,0,1,0, ,2,8,.954824
41 9,RW5,41,9,2,41,954824,12,2007,1296,2,2,0,2,2,0,1,28,1,121,4,0,41,3,2,4,2,3,1,954824,122,602,2, , ,1640, ,1, , ,41, ,15,21,0,0,0,0,0,0,0,11, , , ,2,1,2,74,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-43380,0,0,0,1,1,0,0,0,0,1,0, ,2,8,.954824
4110,RW5,41,10,2,41,954824,12,2007,1296,6,1,0,6,4,3,1,30,1,121,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,20,21,0,1,0,0,1,0,0,11, , , ,2,1,1,31,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-30115,0,0,0,1,1,0,0,0,0,5,3, ,2,8,.954824
4111,RW5,41,11,1,41,954824,12,2007,1296,5,0,3,5,4,0,1,28,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,21,0,1,0,0,0,0,0,34, , , ,4,1,1,42,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,42181,1,1,1,1,1,0,0,0,0,4,0, ,2,8,.954824
4112,RW5,41,12,1,41,954824,12,2007,1296,10,1,3,10,10,3,1,28,1,121,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,30,22,0,1,0,0,0,0,0,11, , , ,2,1,1,33,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,0,0,0,0,10,3, ,2,8,.954824
4113,RW5,41,13,2,41,954824,12,2007,1296,4,1,1,4,3,0,1,28,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,44, ,10,21,0,0,0,0,0,0,0,11, , , ,1,1,1,29,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-42469,1,1,0,1,1,0,0,0,0,4,99, ,2,8,.954824
4114,RW5,41,14,1,41,954824,12,2007,1296,8,1,1,8,7,2,1,28,1,121,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,10,21,0,0,0,0,0,0,0,11, , , ,3,1,2,63,0,0,7,1,0, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-30397,1,1,0,1,1,0,0,0,0,8,2, ,2,8,.954824
4115,RW5,41,15,1,41,954824,12,2007,1296,6,1,2,6,6,0,1,29,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,60,21,0,1,0,0,0,0,0,11, , , ,4,1,1,60,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-32002,0,0,0,1,1,0,0,0,0,6,99, ,2,8,.954824
4116,RW5,41,16,1,41,954824,12,2007,1296,1,0,1,1,1,0,1,29,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,23, ,60,22,0,1,0,0,0,0,0,11, , , ,2,1,1,41,0,0,7,1,0, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-47455,1,1,0,1,1,0,0,0,0,1,99, ,2,8,.954824
4117,RW5,41,17,1,41,954824,12,2007,1296,2,1,1,2,2,0,1,29,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,60,21,0,1,0,0,0,0,0,12, , , ,4,1,2,47,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,19367,0,0,0,1,1,0,0,0,0,2,99, ,2,8,.954824
4118,RW5,41,18,1,41,954824,12,2007,1296,3,1,1,3,3,0,1,29,1,605,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,40,22,0,0,0,0,1,0,0,11, , , ,2,1,1,33,0,1,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-33450,2,2,1,1,1,0,0,0,0,3,99, ,2,8,.954824
4119,RW5,41,19,1,41,954824,12,2007,1296,3,1,1,3,3,1,1,28,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,40,22,0,0,0,0,0,0,0,11, , , ,4,1,1,55,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,0,0,0,1,1,0,0,0,0,95,99, ,2,8,.954824
4120,RW5,41,20,1,41,954824,12,2007,1296,5,2,0,5,5,1,1,28,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,20,22,0,1,0,0,0,0,0,11, , , ,2,1,1,27,0,1,7,1,0, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-23957,2,2,0,1,1,0,0,0,0,4,1, ,2,8,.954824
4121,RW5,41,21,2,41,954824,12,2007,1296,10,2,1,10,9,3,1,29,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,23, ,30,22,0,1,0,0,1,0,0,11, , , ,3,1,1,39,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-45569,0,0,0,1,1,0,0,0,0,95,3, ,2,8,.954824
4122,RW5,41,22,2,41,954824,12,2007,1296,2,1,1,2,2,0,1,29,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,20,22,0,0,0,0,0,0,0,11, , , ,1,1,1,27,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-49022,0,0,0,1,1,0,0,0,0,95,0, ,2,8,.954824
4123,RW5,41,23,1,41,954824,12,2007,1296,4,1,1,4,4,2,1,29,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,60,22,0,1,0,0,0,0,0,11, , , ,4,1,1,71,0,0,7,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3,-37643,0,0,0,1,1,0,0,0,0,95,99, ,2,8,.954824
4124,RW5,41,24,1,41,954824,12,2007,1296,8,1,1,8,8,3,1,29,1,601,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,22,0,1,0,0,0,0,0,12, , , ,4,1,1,44,0,0,7,1,2, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-12242,1,1,1,1,1,0,0,0,0,95,99, ,2,8,.954824
4125,RW5,41,25,1,41,954824,12,2007,1296,9,2,1,9,5,0,1,29,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,5,22,0,1,0,0,0,0,0,11, , , ,2,1,1,37,0,1,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,3,-36941,1,1,1,1,1,0,0,0,0,3,99, ,2,8,.954824
4126,RW5,41,26,1,41,954824,12,2007,1296,6,1,1,6,6,2,1,29,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,22,0,1,0,0,0,0,0,11, , , ,1,1,1,22,0,0,7,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,1,1,0,1,1,0,0,0,0,6,2, ,2,8,.954824
4127,RW5,41,27,1,41,954824,12,2007,1296,7,2,0,7,6,0,1,29,1,604,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,13, ,5,21,0,1,0,0,0,0,0,11, , , ,2,1,1,39,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-19018,3,3,1,1,1,0,0,0,0,2,0, ,2,8,.954824
4128,RW5,41,28,2,41,954824,12,2007,1296,4,0,2,4,3,0,1,29,1,121,4,0,41,3,2,4,2,3,1,954824,122,602,2, , ,1640, ,1, , ,13, ,20,21,0,1,0,0,0,0,0,34, , , ,2,1,1,29,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,55165,2,2,2,1,1,0,0,0,0,4,0, ,2,8,.954824
4129,RW5,41,29,1,41,954824,12,2007,1296,7,2,0,7,6,1,1,29,1,121,4,0,41,3,2,4,2,3,1,954824,603,602,2, , ,1640, ,1, , ,41, ,10,22,0,1,0,0,0,0,0,11, , , ,4,1,1,49,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,2,-50627,1,1,1,1,1,0,0,0,0,7,1, ,2,8,.954824
4130,RW5,41,30,1,41,954824,12,2007,1296,5,3,0,4,4,0,1,29,1,121,4,0,41,3,2,4,2,3,1,954824,122,602,2, , ,1640, ,1, , ,13, ,2,21,0,0,0,0,0,0,0,11, , , ,4,1,1,45,0,0,7,0,3, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-30397,0,0,0,1,1,0,0,0,0,3,0, ,2,8,.954824
42 1,RW5,42,1,2,42,1065968,12,2007,1296,4,1,1,4,4,2,1,29,1,706,2,0,42,3,2,4,2,3,1,1065968,706,702,1, , ,1879, ,1, , ,13, ,10,21,0,1,0,0,0,0,0,11, , , ,2,1,1,32,0,0,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,4,-19018,1,1,2,1,1,0,0,0,0,4,2, ,2,8,1.065968
