HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HV270,HV271,HML1,HML1A,HML2,SH108AA,SH108BA,SH108BB,SH108BC,SH108BD,SH108BX,SH108C1,SH108C2,SH108E,SHREGION,SHDISTRICT,V126
111,RW5,1,11,2,1,111450,2,2008,1298,4,2,1,4,4,1,1,17,1,121,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,5,1,1,30,0,0,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,316012,0,0,0,1,0,0,1,0,0, , ,9,1,1,.11145
112,RW5,1,12,1,1,111450,2,2008,1298,4,1,1,4,4,1,1,17,1,121,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,1,0,0,0,33, , , ,5,1,2,33,1,0,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,454857,0,0,0,1,0,0,1,0,0, , ,9,1,1,.11145
113,RW5,1,13,5,1,111450,2,2008,1298,7,2,3,6,7,0,1,17,1,902,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,0,0,0,0,34, , , ,4,1,1,32,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,384569,1,1,0,1,1,1,1,0,0,3,0,1,1,1,.11145
114,RW5,1,14,2,1,111450,2,2008,1298,5,0,4,5,4,0,1,17,1,902,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,0,0,0,0,0,34, , , ,2,1,1,35,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,321208,3,3,1,1,0,0,1,0,0, , ,9,1,1,.11145
115,RW5,1,15,1,1,111450,2,2008,1298,5,2,1,5,3,0,1,19,2,902,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,0,0,0,0,0,0,34, , , ,5,1,1,36,0,0,6,1,2, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,309830,2,2,1,1,0,0,0,1,0, , ,0,1,1,.11145
116,RW5,1,16,0,1,0,2,2008,1298,0,0,0,0,0,0,2,19,3,902,1,0,1,1,1,1,1,0,1,0,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,1,0,0,1,34, , , ,5,1,1,38,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,537293,4,4,1, , , , , , , , , ,1,1,0
117,RW5,1,17,3,1,111450,2,2008,1298,4,1,3,4,4,0,1,19,2,902,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,1,0,0,1,34, , , ,5,1,1,49,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,537293,2,2,1,1,1,0,1,0,0,3,0,8,1,1,.11145
118,RW5,1,18,2,1,111450,2,2008,1298,6,1,0,6,5,2,1,17,1,902,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,11,1,1,1,0,0,0,1,34, , , ,5,1,1,34,0,9,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,388305,0,0,0,1,0,0,1,0,0, , ,9,1,1,.11145
119,RW5,1,19,1,1,111450,2,2008,1298,6,3,1,6,6,2,1,18,1,4,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,1,1,2,26,0,0,6,1,0, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,316012,2,2,0,1,0,0,1,0,0, , ,1,1,1,.11145
120,RW5,1,20,1,1,111450,2,2008,1298,7,2,2,7,7,2,1,18,1,4,1,0,1,1,1,1,1,0,1,111450,122,904,2, , ,1492, ,1, , ,13, ,999,11,1,1,1,1,0,0,1,34, , , ,4,1,1,39,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,484876,2,2,0,1,0,1,0,0,0, , ,9,1,1,.11145
