HHID,PID,HV101,HV102,HV103,HV104,HV105,HV106,HV107,HV108,HV109,HV110,HV111,HV112,HV113,HV114,HV115,HV116,HV117,HV118,SH9A,SH11,SH12
1 26,3,3,1,1,2,23,1,7,7,1,0, , , , , , ,1,0,1,1,1
1 26,4,3,1,1,1,20,1,3,3,1,0, , , , , , ,0,0,1,1,1
1 26,5,3,1,1,1,16,1,3,3,1,0, , , , , , ,0,0,1,1,1
1 26,6,3,1,1,1,14,1,3,3,1,0,1, ,1, , , ,0,0,1,1,1
1 26,7,3,1,1,1,11,1,1,1,1,0,1, ,1, , , ,0,0,1,1,1
1 26,8,3,1,1,2,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 26,9,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 27,1,1,1,1,2,55,0, ,0,0,0, , , , , , ,0,0, ,0,0
1 27,2,3,1,1,2,16,0, ,0,0,0, , , , , , ,1,0, ,1,0
1 27,3,3,1,1,1,14,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
1 27,4,3,1,1,2,10,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
1 27,5,3,1,1,2,9,1,1,1,1,1,1, ,0, , , ,0,0,1,1,0
1 27,6,3,1,1,1,7,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
1 27,7,5,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 27,8,3,1,1,2,18,0, ,0,0,0, , , , , , ,1,0, ,1,0
1 29,1,1,1,1,1,45,1,5,5,1,0, , , , , , ,0,1,1,1,0
1 29,2,2,1,1,2,45,0, ,0,0,0, , , , , , ,1,0, ,1,0
1 29,3,3,1,1,1,24,1,7,7,1,1, , , , , , ,0,0,1,1,9
1 29,4,3,1,1,2,22,1,7,7,1,1, , , , , , ,1,0,1,1,1
1 29,5,3,1,1,1,19,1,3,3,1,0, , , , , , ,0,0,1,1,1
1 29,6,3,1,1,1,12,1,6,6,1,1,1, ,1, , , ,0,0,1,1,1
1 29,7,3,1,1,2,10,1,2,2,1,1,1, ,1, , , ,0,0,1,1,1
1 29,8,3,1,1,1,7,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
1 29,9,3,1,1,1,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 29,10,3,1,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 29,11,12,0,1,2,14,1,2,2,1,0,1, ,1, , , ,0,0,1,1,1
1 29,12,12,0,1,2,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1 29,13,3,1,1,2,16,1,7,7,1,1, , , , , , ,1,0,1,1,1
1101,1,1,1,1,1,44,1,6,6,1,0, , , , , , ,0,0,2,0,0
1101,2,2,1,1,2,35,1,6,6,1,0, , , , , , ,1,0,2,1,1
1101,3,3,1,1,2,17,1,8,8,2,0, , , , , , ,1,0,2,1,1
1101,4,3,1,1,2,14,1,7,7,1,1,1, ,1, , , ,0,0,1,1,1
1101,5,3,1,1,1,11,1,3,3,1,1,1, ,1, , , ,0,0,1,1,1
1101,6,3,1,1,1,7,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1101,7,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1101,8,3,1,1,2,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1103,1,1,1,1,1,72,0, ,0,0,0, , , , , , ,0,0, ,0,0
1103,2,2,1,1,2,54,0, ,0,0,0, , , , , , ,0,0, ,0,0
1103,3,3,1,1,2,24,1,7,7,1,0, , , , , , ,1,0,1,1,1
1103,4,3,1,1,1,19,1,7,7,1,0, , , , , , ,0,0,1,1,1
1103,5,3,1,1,2,16,1,6,6,1,0, , , , , , ,1,0,1,1,1
1104,1,1,1,1,1,26,1,6,6,1,0, , , , , , ,0,0,1,1,1
1106,1,1,1,1,1,27,1,3,3,1,0, , , , , , ,0,0,1,1,1
1106,2,2,1,1,2,28,1,2,2,1,0, , , , , , ,1,0,1,0,0
1106,3,3,1,1,1,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1106,4,3,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1107,1,1,1,1,2,55,1,4,4,1,0, , , , , , ,0,0,1,1,0
1107,2,3,1,1,1,32,1,3,3,1,0, , , , , , ,0,0,1,1,8
1107,3,3,1,1,1,27,0, ,0,0,0, , , , , , ,0,0, ,1,8
1107,4,3,1,0,1,21,0, ,0,0,0, , , , , , ,0,0, ,1,8
1107,5,3,1,1,1,17,1,8,8,2,0, , , , , , ,0,0,2,1,8
1109,1,1,1,1,1,22,1,8,8,2,9, , , , , , ,0,0,2,1,1
1109,2,2,1,1,2,25,1,8,8,2,0, , , , , , ,1,0,2,1,1
1109,3,3,1,1,1,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1110,1,1,1,1,1,70,0, ,0,0,0, , , , , , ,0,0, ,0,0
1110,2,2,1,1,2,69,0, ,0,0,0, , , , , , ,0,0, ,0,0
1112,1,1,1,1,1,53,1,4,4,1,0, , , , , , ,0,0,1,0,0
1112,2,2,1,1,2,42,0, ,0,0,0, , , , , , ,1,0, ,1,0
1112,3,3,1,1,1,25,1,7,7,1,0, , , , , , ,0,0,1,1,1
1112,4,3,1,1,1,22,1,3,3,1,0, , , , , , ,0,0,1,1,1
1112,5,3,1,1,2,17,1,7,7,1,0, , , , , , ,1,0,1,1,1
1112,6,3,1,1,1,14,1,5,5,1,1,1, ,1, , , ,0,0,1,1,1
1112,7,3,1,1,1,9,1,1,1,1,1,1, ,1, , , ,0,0,1,1,1
1112,8,3,1,1,1,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1112,9,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1113,1,1,1,1,2,40,1,4,4,1,0, , , , , , ,1,0,1,0,0
1113,2,3,1,1,1,9,1,2,2,1,0,1, ,0, , , ,0,0,1,1,0
1113,3,3,1,1,2,8,1,0,0,1,0,1, ,1, , , ,0,0,1,1,1
1113,4,3,1,1,1,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1113,5,3,1,1,1,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
