HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
11 18,RW2,11,18,0,130,1126893,6,92,1110,5,1,0,5,5,2,1,30,1,55,3,0,130,38,2,2,2,3,0,0,32,32,1,8,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,49,11,12,6,1.126893
11 20,RW2,11,20,0,130,1126893,6,92,1110,3,1,0,3,3,1,1,29,1,53,3,0,130,38,2,2,2,3,0,0,32,32,1,30,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,31,11,12,6,1.126893
11 21,RW2,11,21,0,130,1126893,6,92,1110,6,1,0,6,6,2,1,30,2,54,3,0,130,38,2,2,2,3,0,0,12,12,1,40,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,26,11,12,6,1.126893
11 23,RW2,11,23,0,130,1126893,6,92,1110,3,1,0,3,3,1,1,29,1,53,3,0,130,38,2,2,2,3,0,0,32,32,1,10,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,22,11,12,6,1.126893
11 25,RW2,11,25,0,130,1126893,6,92,1110,3,1,0,3,3,1,1,30,2,54,3,0,130,38,2,2,2,3,0,0,12,12,1,30,31,0,0, ,0,0,0,0,11, , ,1,1,1,2,36,11,12,6,1.126893
11 26,RW2,11,26,0,130,1126893,6,92,1110,4,1,1,4,4,2,1,29,2,53,3,0,130,38,2,2,2,3,2,1126893,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,36,11,12,6,1.126893
11 28,RW2,11,28,0,130,1126893,6,92,1110,5,1,0,5,5,1,1,30,2,54,3,0,130,38,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,44,11,12,6,1.126893
11 29,RW2,11,29,0,130,1126893,6,92,1110,3,0,0,3,3,0,1,29,1,53,3,0,130,38,2,2,2,3,0,0,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,72,11,12,6,1.126893
11 31,RW2,11,31,0,130,1126893,6,92,1110,3,1,1,3,3,1,1,29,1,54,3,0,130,38,2,2,2,3,2,1126893,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,23,11,12,6,1.126893
11 33,RW2,11,33,0,130,1126893,6,92,1110,6,1,0,6,6,2,1,29,1,53,3,0,130,38,2,2,2,3,0,0,32,32,1,15,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,40,11,12,6,1.126893
11 34,RW2,11,34,0,130,1126893,6,92,1110,2,0,0,2,2,0,1,29,1,54,3,0,130,38,2,2,2,3,0,0,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,69,11,12,6,1.126893
11 36,RW2,11,36,0,130,1126893,6,92,1110,5,1,0,5,5,1,1,29,1,55,3,0,130,38,2,2,2,3,0,0,32,32,1,30,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,20,11,12,6,1.126893
11 37,RW2,11,37,0,130,1126893,6,92,1110,6,2,0,6,6,0,1,29,1,54,3,0,130,38,2,2,2,3,0,0,32,32,1,40,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,17,11,12,6,1.126893
11 39,RW2,11,39,0,130,1126893,6,92,1110,5,1,0,4,5,0,1,29,1,55,3,0,130,38,2,2,2,3,0,0,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,2,4,1,2,67,11,12,6,1.126893
11 41,RW2,11,41,0,130,1126893,6,92,1110,5,1,0,5,5,1,1,20,1,54,3,0,130,38,2,2,2,3,0,0,32,32,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,44,11,12,6,1.126893
11 42,RW2,11,42,0,130,1126893,6,92,1110,7,2,1,7,7,1,1,29,1,55,3,0,130,38,2,2,2,3,2,1126893,32,32,1,10,23,0,1, ,0,0,0,0,11, , ,2,4,1,1,38,11,12,6,1.126893
11 44,RW2,11,44,0,130,1126893,6,92,1110,6,1,0,6,6,2,1,29,1,54,3,0,130,38,2,2,2,3,0,0,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,34,11,12,6,1.126893
11 47,RW2,11,47,0,130,1126893,6,92,1110,5,1,1,5,5,2,1,29,1,54,3,0,130,38,2,2,2,3,2,1126893,32,32,1,40,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,35,11,12,6,1.126893
11 50,RW2,11,50,0,130,1126893,6,92,1110,5,2,0,5,5,1,1,30,2,56,3,0,130,38,2,2,2,3,0,0,32,32,1,15,23,0,0, ,0,1,0,0,11, , ,2,4,1,1,47,11,12,6,1.126893
11 53,RW2,11,53,0,130,1126893,6,92,1110,5,1,0,5,5,1,1,29,1,56,3,0,130,38,2,2,2,3,0,0,32,32,1,3,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,29,11,12,6,1.126893
11 57,RW2,11,57,0,130,1126893,6,92,1110,7,2,0,7,6,2,1,29,1,56,3,0,130,38,2,2,2,3,0,0,32,32,1,10,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,62,11,12,6,1.126893
11 60,RW2,11,60,0,130,1126893,6,92,1110,4,1,0,4,4,2,1,29,1,56,3,0,130,38,2,2,2,3,0,0,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,26,11,12,6,1.126893
11 63,RW2,11,63,0,130,1126893,6,92,1110,5,1,0,5,4,1,1,29,1,56,3,0,130,38,2,2,2,3,2,1126893,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,2,2,1,2,45,11,12,6,1.126893
11 66,RW2,11,66,0,130,1126893,6,92,1110,7,2,0,7,6,1,1,29,1,56,3,0,130,38,2,2,2,3,0,0,32,32,1,5,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,67,11,12,6,1.126893
11 69,RW2,11,69,0,130,1126893,6,92,1110,3,1,0,3,3,1,1,29,1,56,3,0,130,38,2,2,2,3,0,0,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,18,11,12,6,1.126893
11 72,RW2,11,72,0,130,1126893,6,92,1110,5,1,0,5,5,1,1,30,1,56,3,0,130,38,2,2,2,3,0,0,12,12,1,25,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,41,11,12,6,1.126893
12 68,RW2,12,68,0,131,1126893,6,92,1110,7,1,1,7,7,2,1,24,1,54,6,0,131,39,2,2,2,3,2,1126893,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,36,11,13,5,1.126893
12 70,RW2,12,70,0,131,1126893,6,92,1110,8,3,0,7,8,0,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,45,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,53,11,13,5,1.126893
12 72,RW2,12,72,0,131,1126893,6,92,1110,6,1,0,6,5,0,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,99,11,13,5,1.126893
12 73,RW2,12,73,0,131,1126893,6,92,1110,5,1,0,5,5,2,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,37,11,13,5,1.126893
12 75,RW2,12,75,0,131,1126893,6,92,1110,2,0,0,2,2,0,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,20,23,0,0, ,0,0,0,0,11, , ,2,3,1,1,55,11,13,5,1.126893
12 77,RW2,12,77,0,131,1126893,6,92,1110,3,1,1,3,3,1,1,24,1,54,6,0,131,39,2,2,2,3,2,1126893,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,53,11,13,5,1.126893
12 78,RW2,12,78,0,131,1126893,6,92,1110,6,1,0,6,6,2,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,1,0,0,34, , ,3,2,1,1,34,11,13,5,1.126893
12 80,RW2,12,80,0,131,1126893,6,92,1110,1,0,0,1,1,0,1,24,1,54,6,0,131,39,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,1,1,1,1,29,11,13,5,1.126893
12 82,RW2,12,82,0,131,1126893,6,92,1110,6,1,0,6,6,3,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,6,31,0,0, ,0,0,0,0,11, , ,2,2,1,2,28,11,13,5,1.126893
12 83,RW2,12,83,0,131,1126893,6,92,1110,4,1,0,4,4,2,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,29,11,13,5,1.126893
12 85,RW2,12,85,0,131,1126893,6,92,1110,1,0,0,1,1,0,1,24,1,55,6,0,131,39,2,2,2,3,2,1126893,31,31,1,120,23,0,0, ,0,0,0,0,11, , ,1,1,1,1,66,11,13,5,1.126893
12 87,RW2,12,87,0,131,1126893,6,92,1110,3,1,0,3,3,1,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,60,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,23,11,13,5,1.126893
12 88,RW2,12,88,0,131,1126893,6,92,1110,2,1,0,2,2,0,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,60,13,0,0, ,0,0,0,0,11, , ,1,3,1,2,75,11,13,5,1.126893
12 90,RW2,12,90,0,131,1126893,6,92,1110,3,0,0,3,3,0,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,60,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,98,11,13,5,1.126893
12 91,RW2,12,91,0,131,1126893,6,92,1110,4,1,0,4,4,1,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,8,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,28,11,13,5,1.126893
12 93,RW2,12,93,0,131,1126893,6,92,1110,3,1,1,3,3,1,1,24,1,55,6,0,131,39,2,2,2,3,2,1126893,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,29,11,13,5,1.126893
12 95,RW2,12,95,0,131,1126893,6,92,1110,4,1,0,4,4,2,1,24,1,56,6,0,131,39,2,2,2,3,0,0,24,24,1,40,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,32,11,13,5,1.126893
12 96,RW2,12,96,0,131,1126893,6,92,1110,3,1,0,3,3,1,1,24,1,56,6,0,131,39,2,2,2,3,0,0,24,24,1,20,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,41,11,13,5,1.126893
12 98,RW2,12,98,0,131,1126893,6,92,1110,7,1,0,7,7,3,1,24,1,56,6,0,131,39,2,2,2,3,0,0,24,24,1,30,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,35,11,13,5,1.126893
12100,RW2,12,100,0,131,1126893,6,92,1110,3,1,0,2,3,1,1,24,1,55,6,0,131,39,2,2,2,3,0,0,31,31,1,25,23,0,0, ,0,0,0,0,11, , ,2,1,1,2,21,11,13,5,1.126893
12101,RW2,12,101,0,131,1126893,6,92,1110,6,1,1,6,6,3,1,24,1,56,6,0,131,39,2,2,2,3,2,1126893,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,38,11,13,5,1.126893
12103,RW2,12,103,0,131,1126893,6,92,1110,6,1,0,6,6,1,1,24,1,56,6,0,131,39,2,2,2,3,0,0,12,12,1,5,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,49,11,13,5,1.126893
12105,RW2,12,105,0,131,1126893,6,92,1110,7,3,0,6,7,1,1,24,1,56,6,0,131,39,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,4,1,2,45,11,13,5,1.126893
12106,RW2,12,106,0,131,1126893,6,92,1110,7,1,0,7,7,1,1,24,1,53,6,0,131,39,2,2,2,3,0,0,32,32,1,60,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,39,11,13,5,1.126893
12108,RW2,12,108,0,131,1126893,6,92,1110,9,1,0,9,9,2,1,24,1,53,6,0,131,39,2,2,2,3,0,0,32,32,1,30,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,44,11,13,5,1.126893
12109,RW2,12,109,0,131,1126893,6,92,1110,3,1,1,3,3,1,1,24,1,53,6,0,131,39,2,2,2,3,2,1126893,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,22,11,13,5,1.126893
12111,RW2,12,111,0,131,1126893,6,92,1110,5,1,0,5,5,2,1,24,2,53,6,0,131,39,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,31,11,13,5,1.126893
12113,RW2,12,113,0,131,1126893,6,92,1110,4,1,0,4,4,2,1,24,1,53,6,0,131,39,2,2,2,3,0,0,31,31,1,30,31,0,0, ,0,0,0,0,11, , ,1,2,1,1,41,11,13,5,1.126893
12114,RW2,12,114,0,131,1126893,6,92,1110,5,1,0,5,5,1,1,24,2,53,6,0,131,39,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,99,2,1,1,44,11,13,5,1.126893
12116,RW2,12,116,0,131,1126893,6,92,1110,4,0,0,4,4,0,1,24,1,53,6,0,131,39,2,2,2,3,0,0,31,32,0,5,23,0,0, ,0,0,0,0,11, , ,1,2,1,2,72,11,13,5,1.126893
13  9,RW2,13,9,0,132,1126893,6,92,1110,8,3,0,8,8,0,1,30,1,25,9,0,132,39,2,2,2,3,0,0,32,32,1,20,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,47,11,14,3,1.126893
13 11,RW2,13,11,0,132,1126893,6,92,1110,1,0,0,1,1,0,1,30,1,25,9,0,132,39,2,2,2,3,2,1126893,32,32,1,8,23,0,0, ,0,0,0,0,11, , ,1,1,1,1,28,11,14,3,1.126893
13 14,RW2,13,14,0,132,1126893,6,92,1110,8,1,0,8,8,1,1,30,1,25,9,0,132,39,2,2,2,3,0,0,32,32,1,5,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,53,11,14,3,1.126893
13 17,RW2,13,17,0,132,1126893,6,92,1110,2,0,0,2,2,0,1,30,1,25,9,0,132,39,2,2,2,3,0,0,32,32,1,6,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,67,11,14,3,1.126893
13 19,RW2,13,19,0,132,1126893,6,92,1110,5,1,0,5,5,1,1,30,1,25,9,0,132,39,2,2,2,3,0,0,32,32,1,4,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,33,11,14,3,1.126893
13 22,RW2,13,22,0,132,1126893,6,92,1110,3,1,0,3,2,0,1,30,1,25,9,0,132,39,2,2,2,3,0,0,31,31,1,6,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,56,11,14,3,1.126893
13 24,RW2,13,24,0,132,1126893,6,92,1110,3,0,0,3,3,0,1,29,1,23,9,0,132,39,2,2,2,3,2,1126893,31,31,1,3,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,74,11,14,3,1.126893
13 26,RW2,13,26,0,132,1126893,6,92,1110,6,1,0,6,6,2,1,29,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,3,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,33,11,14,3,1.126893
13 29,RW2,13,29,0,132,1126893,6,92,1110,5,0,0,5,5,0,1,30,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,3,23,0,0, ,0,0,0,0,11, , ,3,2,1,2,65,11,14,3,1.126893
13 32,RW2,13,32,0,132,1126893,6,92,1110,5,1,0,5,4,1,1,30,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,7,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,75,11,14,3,1.126893
13 34,RW2,13,34,0,132,1126893,6,92,1110,1,0,0,1,1,0,1,30,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,7,23,0,0, ,0,0,0,0,11, , ,1,1,1,1,32,11,14,3,1.126893
13 37,RW2,13,37,0,132,1126893,6,92,1110,6,1,0,6,6,0,1,30,1,23,9,0,132,39,2,2,2,3,2,1126893,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,61,11,14,3,1.126893
13 39,RW2,13,39,0,132,1126893,6,92,1110,3,1,0,3,3,1,1,30,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,28,11,14,3,1.126893
13 42,RW2,13,42,0,132,1126893,6,92,1110,2,0,0,2,2,0,1,30,1,26,9,0,132,39,2,2,2,3,0,0,31,31,1,10,23,0,1, ,0,0,0,0,11, , ,1,3,1,1,28,11,14,3,1.126893
13 45,RW2,13,45,0,132,1126893,6,92,1110,5,2,0,5,5,0,1,30,1,26,9,0,132,39,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,56,11,14,3,1.126893
13 47,RW2,13,47,0,132,1126893,6,92,1110,8,1,0,8,8,2,1,30,1,23,9,0,132,39,2,2,2,3,0,0,31,31,1,4,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,40,11,14,3,1.126893
13 50,RW2,13,50,0,132,0,6,92,1110,0,0,0,0,0,0,2,29,1,23,9,0,132,39,2,2,2,3,2,0, , , , , , , , , , , , , , , , , , , , ,11,14,3,0
13 53,RW2,13,53,0,132,1126893,7,92,1111,9,1,0,9,9,2,1,1,1,25,9,0,132,39,2,2,2,3,0,0,31,31,1,5,23,0,1, ,0,0,0,0,11, , ,3,2,1,1,40,11,14,3,1.126893
13 55,RW2,13,55,0,132,1126893,7,92,1111,7,1,0,7,7,2,1,1,1,24,9,0,132,39,2,2,2,3,0,0,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,3,2,1,2,45,11,14,3,1.126893
13 58,RW2,13,58,0,132,1126893,6,92,1110,4,1,0,4,4,0,1,30,1,26,9,0,132,39,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,69,11,14,3,1.126893
13 61,RW2,13,61,0,132,1126893,6,92,1110,4,1,0,4,4,1,1,30,1,26,9,0,132,39,2,2,2,3,0,0,31,31,1,9,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,30,11,14,3,1.126893
13 63,RW2,13,63,0,132,1126893,6,92,1110,3,0,0,3,3,0,1,29,1,26,9,0,132,39,2,2,2,3,2,1126893,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,70,11,14,3,1.126893
13 66,RW2,13,66,0,132,1126893,6,92,1110,2,1,0,2,2,1,1,29,1,26,9,0,132,39,2,2,2,3,0,0,12,12,1,20,23,0,1, ,0,0,0,0,11, , ,1,1,1,2,26,11,14,3,1.126893
13 69,RW2,13,69,0,132,1126893,6,92,1110,4,1,0,4,4,1,1,30,1,25,9,0,132,39,2,2,2,3,0,0,32,32,1,10,23,0,0, ,0,0,0,0,11, , ,2,4,1,2,98,11,14,3,1.126893
13 71,RW2,13,71,0,132,1126893,6,92,1110,6,2,0,6,6,0,1,29,1,25,9,0,132,39,2,2,2,3,0,0,12,12,1,20,23,0,1, ,0,0,0,0,34, , ,3,4,1,1,43,11,14,3,1.126893
13 74,RW2,13,74,0,132,0,6,92,1110,0,0,0,0,0,0,3,30,1,27,9,0,132,39,2,2,2,3,0,0, , , , , , , , , , , , , , , , , , , , ,11,14,3,0
13 77,RW2,13,77,0,132,1126893,6,92,1110,6,2,0,6,4,1,1,30,1,27,9,0,132,39,2,2,2,3,2,1126893,31,31,1,35,23,0,1, ,0,0,0,0,11, , ,4,4,1,1,60,11,14,3,1.126893
13 79,RW2,13,79,0,132,1126893,6,92,1110,5,0,0,5,4,1,1,29,1,25,9,0,132,39,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,56,11,14,3,1.126893
13 82,RW2,13,82,0,132,1126893,6,92,1110,4,1,0,4,4,2,1,29,1,24,9,0,132,39,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,30,11,14,3,1.126893
13 85,RW2,13,85,0,132,1126893,6,92,1110,7,2,0,7,7,2,1,29,1,24,9,0,132,39,2,2,2,3,0,0,31,31,1,240,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,38,11,14,3,1.126893
13 87,RW2,13,87,0,132,1126893,6,92,1110,5,0,0,5,4,0,1,30,1,27,9,0,132,39,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,3,5,1,1,54,11,14,3,1.126893
14  9,RW2,14,9,0,133,1126893,6,92,1110,3,0,0,3,3,0,1,28,1,63,8,0,133,40,2,2,2,3,0,0,13,13,1, ,31,0,0, ,0,0,0,0,11, , ,1,4,1,1,82,11,15,4,1.126893
14 11,RW2,14,11,0,133,1126893,6,92,1110,8,1,0,8,8,3,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,33,11,15,4,1.126893
14 14,RW2,14,14,0,133,1126893,6,92,1110,3,0,0,3,3,0,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,76,11,15,4,1.126893
14 16,RW2,14,16,0,133,1126893,6,92,1110,8,2,0,7,8,1,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,5,23,0,1, ,0,1,0,0,11, , ,3,2,1,1,56,11,15,4,1.126893
14 18,RW2,14,18,0,133,1126893,6,92,1110,4,0,0,4,4,1,1,28,1,63,8,0,133,40,2,2,2,3,2,1126893,51,51,1,45,23,0,0, ,0,0,0,0,11, , ,1,5,1,2,72,11,15,4,1.126893
14 21,RW2,14,21,0,133,1126893,6,92,1110,6,1,0,6,6,0,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,40,31,0,0, ,0,0,0,0,11, , ,2,4,1,1,54,11,15,4,1.126893
14 23,RW2,14,23,0,133,1126893,6,92,1110,10,3,0,8,10,1,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,30,23,0,1, ,0,1,0,0,34, , ,5,4,1,1,47,11,15,4,1.126893
14 25,RW2,14,25,0,133,1126893,6,92,1110,2,0,0,2,2,0,1,28,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,84,11,15,4,1.126893
14 28,RW2,14,28,0,133,1126893,6,92,1110,9,1,0,9,7,0,1,27,1,65,8,0,133,40,2,2,2,3,0,0,32,32,1,90,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,40,11,15,4,1.126893
14 30,RW2,14,30,0,133,1126893,6,92,1110,9,2,1,9,8,2,1,27,1,65,8,0,133,40,2,2,2,3,2,1126893,31,31,1,120,23,0,0, ,0,0,0,0,11, , ,1,4,1,1,63,11,15,4,1.126893
14 33,RW2,14,33,0,133,1126893,6,92,1110,2,0,0,2,2,0,1,27,1,65,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,73,11,15,4,1.126893
14 35,RW2,14,35,0,133,1126893,6,92,1110,4,0,0,4,2,0,1,28,1,65,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,1,2,1,2,60,11,15,4,1.126893
14 37,RW2,14,37,0,133,1126893,6,92,1110,3,1,0,3,3,1,1,28,1,65,8,0,133,40,2,2,2,3,0,0,12,12,1,15,23,0,1, ,0,1,0,0,11, , ,1,2,1,1,25,11,15,4,1.126893
14 40,RW2,14,40,0,133,1126893,6,92,1110,4,1,0,4,4,0,1,28,1,65,8,0,133,40,2,2,2,3,0,0,31,31,1,10,31,0,0, ,0,0,0,0,11, , ,3,4,1,1,72,11,15,4,1.126893
14 42,RW2,14,42,0,133,1126893,6,92,1110,5,1,1,5,5,2,1,29,1,65,8,0,133,40,2,2,2,3,2,1126893,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,36,11,15,4,1.126893
14 44,RW2,14,44,0,133,1126893,6,92,1110,3,1,0,3,3,1,1,28,1,65,8,0,133,40,2,2,2,3,0,0,31,31,1,5,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,26,11,15,4,1.126893
14 47,RW2,14,47,0,133,1126893,6,92,1110,4,1,0,4,4,0,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,92,11,15,4,1.126893
14 49,RW2,14,49,0,133,1126893,6,92,1110,5,1,0,5,5,3,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,20,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,40,11,15,4,1.126893
14 51,RW2,14,51,0,133,1126893,6,92,1110,4,0,0,4,4,0,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,60,11,15,4,1.126893
14 54,RW2,14,54,0,133,1126893,6,92,1110,8,1,0,8,7,2,1,28,1,66,8,0,133,40,2,2,2,3,2,1126893,31,31,1,60,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,57,11,15,4,1.126893
14 56,RW2,14,56,0,133,1126893,6,92,1110,4,1,0,4,4,2,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,25,11,15,4,1.126893
14 58,RW2,14,58,0,133,1126893,6,92,1110,2,1,0,2,2,0,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,1,1,2,29,11,15,4,1.126893
14 61,RW2,14,61,0,133,1126893,6,92,1110,6,1,0,6,6,3,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,5,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,32,11,15,4,1.126893
14 63,RW2,14,63,0,133,1126893,6,92,1110,3,1,0,3,3,0,1,27,1,66,8,0,133,40,2,2,2,3,0,0,31,31,1,60,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,50,11,15,4,1.126893
14 65,RW2,14,65,0,133,1126893,6,92,1110,7,1,1,7,7,1,1,28,1,64,8,0,133,40,2,2,2,3,2,1126893,12,12,1,60,23,0,1, ,0,0,0,0,11, , ,3,5,1,1,36,11,15,4,1.126893
14 68,RW2,14,68,0,133,1126893,6,92,1110,3,0,0,3,3,0,1,27,1,64,8,0,133,40,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,0,0,0,11, , ,2,2,1,2,57,11,15,4,1.126893
14 70,RW2,14,70,0,133,1126893,6,92,1110,2,1,0,2,2,0,1,28,1,64,8,0,133,40,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,30,11,15,4,1.126893
14 72,RW2,14,72,0,133,1126893,6,92,1110,4,1,0,4,4,2,1,27,1,63,8,0,133,40,2,2,2,3,0,0,31,31,1,45,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,27,11,15,4,1.126893
14 75,RW2,14,75,0,133,1126893,6,92,1110,3,1,0,3,3,0,1,28,1,64,8,0,133,40,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,30,11,15,4,1.126893
14 77,RW2,14,77,0,133,1126893,6,92,1110,7,1,1,7,7,2,1,26,1,65,8,0,133,40,2,2,2,3,2,1126893,31,31,1,5,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,42,11,15,4,1.126893
