HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
1115,RW2,1,115,0,120,1126893,6,92,1110,8,1,1,8,8,2,1,25,1,63,3,0,120,34,2,2,2,3,2,1126893,31,31,1,20,31,0,0, ,0,0,0,0,11, , ,2,4,1,1,37,11,2,6,1.126893
1116,RW2,1,116,0,120,1126893,6,92,1110,5,2,0,5,5,0,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,30,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,56,11,2,6,1.126893
1118,RW2,1,118,0,120,1126893,6,92,1110,2,1,0,2,2,0,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,1, ,0,0,0,0,11, , ,1,2,1,1,28,11,2,6,1.126893
1119,RW2,1,119,0,120,1126893,6,92,1110,3,1,0,3,3,0,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,2,3,1,2,59,11,2,6,1.126893
1121,RW2,1,121,0,120,1126893,6,92,1110,3,1,0,3,3,1,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,20,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,20,11,2,6,1.126893
1122,RW2,1,122,0,120,1126893,6,92,1110,3,2,0,3,3,0,1,25,1,63,3,0,120,34,2,2,2,3,2,1126893,31,31,1,4,23,0,0, ,0,0,0,0,11, , ,2,3,1,2,42,11,2,6,1.126893
1124,RW2,1,124,0,120,1126893,6,92,1110,6,1,0,6,6,1,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,30,23,0,1, ,0,0,0,0,11, , ,3,2,1,1,40,11,2,6,1.126893
1125,RW2,1,125,0,120,1126893,6,92,1110,4,0,0,4,4,0,1,25,1,63,3,0,120,34,2,2,2,3,0,0,31,31,1,60,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,61,11,2,6,1.126893
2  5,RW2,2,5,0,121,1126893,6,92,1110,4,2,0,4,4,1,1,21,1,53,8,0,121,34,2,2,2,3,0,0,31,31,1,60,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,45,11,3,3,1.126893
2  8,RW2,2,8,0,121,1126893,6,92,1110,3,1,0,3,3,1,1,21,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,22,11,3,3,1.126893
2 10,RW2,2,10,0,121,1126893,6,92,1110,10,2,0,6,10,2,1,21,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,4,2,1,1,40,11,3,3,1.126893
2 13,RW2,2,13,0,121,1126893,6,92,1110,6,1,1,6,6,3,1,21,1,54,8,0,121,34,2,2,2,3,2,1126893,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,34,11,3,3,1.126893
2 15,RW2,2,15,0,121,1126893,6,92,1110,3,1,0,3,3,0,1,21,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,17,11,3,3,1.126893
2 18,RW2,2,18,0,121,1126893,6,92,1110,11,1,0,11,11,2,1,22,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,5,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,52,11,3,3,1.126893
2 20,RW2,2,20,0,121,1126893,6,92,1110,13,2,0,7,12,1,1,22,2,55,8,0,121,34,2,2,2,3,0,0,12,12,1,40,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,38,11,3,3,1.126893
2 23,RW2,2,23,0,121,1126893,6,92,1110,6,1,0,6,5,0,1,22,2,53,8,0,121,34,2,2,2,3,0,0,31,31,1,5,23,0,1, ,0,0,0,0,11, , ,2,4,1,1,60,11,3,3,1.126893
2 25,RW2,2,25,0,121,1126893,6,92,1110,5,0,0,3,4,0,1,21,1,54,8,0,121,34,2,2,2,3,2,1126893,12,12,1,20,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,67,11,3,3,1.126893
2 28,RW2,2,28,0,121,1126893,6,92,1110,7,2,0,3,7,2,1,21,1,56,8,0,121,34,2,2,2,3,0,0,32,32,1,30,23,0,0, ,0,0,0,0,11, , ,2,1,1,2,26,11,3,3,1.126893
2 30,RW2,2,30,0,121,1126893,6,92,1110,2,1,0,2,2,0,1,21,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,21,11,3,3,1.126893
2 33,RW2,2,33,0,121,1126893,6,92,1110,6,1,0,6,6,2,1,22,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,5,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,28,11,3,3,1.126893
2 35,RW2,2,35,0,121,1126893,6,92,1110,8,1,0,8,8,2,1,22,1,53,8,0,121,34,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,39,11,3,3,1.126893
2 38,RW2,2,38,0,121,1126893,6,92,1110,8,4,0,6,8,0,1,22,1,54,8,0,121,34,2,2,2,3,2,1126893,12,12,1,20,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,54,11,3,3,1.126893
2 40,RW2,2,40,0,121,1126893,6,92,1110,11,2,0,3,10,0,1,22,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,4,4,1,1,72,11,3,3,1.126893
2 43,RW2,2,43,0,121,1126893,6,92,1110,9,2,0,6,9,0,1,23,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,77,11,3,3,1.126893
2 45,RW2,2,45,0,121,1126893,6,92,1110,4,1,0,4,4,2,1,23,2,53,8,0,121,34,2,2,2,3,0,0,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,26,11,3,3,1.126893
2 48,RW2,2,48,0,121,1126893,6,92,1110,8,2,0,7,8,4,1,22,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,0,0,0,11, , ,2,4,1,1,33,11,3,3,1.126893
2 50,RW2,2,50,0,121,1126893,6,92,1110,6,1,1,5,6,3,1,22,1,55,8,0,121,34,2,2,2,3,2,1126893,12,32,0,5,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,60,11,3,3,1.126893
2 53,RW2,2,53,0,121,1126893,6,92,1110,5,1,0,5,5,0,1,22,1,53,8,0,121,34,2,2,2,3,0,0,31,31,1,5,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,71,11,3,3,1.126893
2 55,RW2,2,55,0,121,0,6,92,1110,0,0,0,0,0,0,3,23,3,54,8,0,121,34,2,2,2,3,0,0, , , , , , , , , , , , , , , , , , , , ,11,3,3,0
2 58,RW2,2,58,0,121,1126893,6,92,1110,18,2,0,18,16,1,1,23,1,53,8,0,121,34,2,2,2,3,0,0,12,12,1,4,23,0,1, ,0,1,0,0,33, , ,3,5,1,1,36,11,3,3,1.126893
2 60,RW2,2,60,0,121,1126893,6,92,1110,9,2,0,9,9,4,1,22,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,30,31,0,1, ,0,1,0,0,11, , ,2,4,1,1,27,11,3,3,1.126893
2 63,RW2,2,63,0,121,1126893,6,92,1110,1,0,0,1,1,0,1,22,1,56,8,0,121,34,2,2,2,3,2,1126893,12,12,1,5,31,0,0, ,0,0,0,0,11, , ,1,1,1,1,39,11,3,3,1.126893
2 65,RW2,2,65,0,121,1126893,6,92,1110,3,2,0,2,2,0,1,22,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,8,31,0,0, ,0,0,0,0,11, , ,2,2,1,1,22,11,3,3,1.126893
2 67,RW2,2,67,0,121,1126893,6,92,1110,7,1,0,7,7,2,1,22,1,53,8,0,121,34,2,2,2,3,0,0,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,35,11,3,3,1.126893
