fw101,fw000,fw102,fw103,fw104,fw105,fw106,fw107,fw108,fw109,fw110,fw111,fw112,fw113a,fw113b,fw113c,fw113d,fw113e,fw113f,fw113g,fw113h,fw113i,fw113j,fw113k,fw113l,fw113m,fw113x,fw113y,fw114,fw115,fw116,fw117,fw118
1600,RW7,1,1,43,2,1,3,2,2,6,1,,A,B,,,,,,,,,,,,,,1,1,1,3,
1601,RW7,1,1,39,2,1,4,2,3,4,1,,A,,,D,,,,,,,,,,,,1,2,2,3,
1105,RW7,3,3,28,2,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1100,RW7,1,1,40,2,1,2,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
1101,RW7,2,3,48,2,1,2,2,2,6,1,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1107,RW7,2,2,26,1,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1103,RW7,1,1,33,2,1,2,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,1,1,3,
1104,RW7,5,3,36,1,1,2,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,2,1,2.0
1106,RW7,5,3,33,1,2,2,2,2,6,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1102,RW7,1,1,37,2,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
500,RW7,2,3,35,1,1,2,2,3,3,1,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
503,RW7,5,2,30,2,1,2,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,1,1,3,
501,RW7,1,1,26,2,6,0,2,3,3,3,,A,B,C,,,,,,,,,,,,,1,2,2,3,
504,RW7,1,1,27,1,6,0,2,3,3,2,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
507,RW7,1,1,26,1,6,0,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
505,RW7,3,2,34,1,1,0,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
506,RW7,1,1,39,2,1,4,2,3,3,2,,A,B,,D,,,,,,,,,,,,1,1,1,3,
502,RW7,1,1,34,2,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
800,RW7,1,1,36,2,1,3,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
801,RW7,1,1,27,2,6,1,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
802,RW7,1,1,27,2,1,1,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
803,RW7,1,1,24,2,6,0,2,3,3,2,,A,,C,,,,,,,,,,,,,1,2,2,3,
804,RW7,2,3,30,1,6,0,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
805,RW7,1,1,32,1,2,1,2,3,4,3,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
806,RW7,1,1,37,2,1,2,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
807,RW7,5,3,27,1,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1300,RW7,1,1,38,1,1,2,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1307,RW7,1,1,25,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1304,RW7,2,2,40,1,1,2,2,3,5,3,,A,B,C,D,,,,,,,,,,,,1,2,1,2,2.0
1301,RW7,1,1,49,2,3,1,2,3,4,1,,A,B,,,,,,,,,,,,,,1,1,1,3,
1303,RW7,1,1,40,2,1,3,2,3,4,2,,A,B,,,,,,,,,,,,,,1,1,1,1,2.0
1305,RW7,4,2,49,1,1,5,2,3,4,1,,A,B,,,,,,,,,,,,,,1,1,1,3,
1302,RW7,1,1,36,2,1,2,2,3,5,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1306,RW7,2,3,31,1,6,0,2,3,1,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
906,RW7,1,1,30,2,1,1,2,3,3,2,,A,B,,D,,,,,,,,,,,,1,2,1,3,
902,RW7,1,1,34,2,6,1,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
901,RW7,1,1,49,2,3,6,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
903,RW7,5,2,26,2,6,1,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
900,RW7,1,1,33,1,6,0,2,3,3,3,,A,B,C,,,,,,,,,,,,,1,1,1,3,
907,RW7,1,1,36,1,1,4,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
904,RW7,1,1,45,1,6,1,2,3,2,1,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
905,RW7,1,1,27,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1502,RW7,5,3,26,2,1,1,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
